# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, valid_inputs, invalid_inputs, valid_cov
1669943389, 0, 0, 1, 0, 0, 0.25%, 0, 0, 0, 2.32, 0, 1, 0.00%
1669943389, 0, 0, 9, 0, 0, 1.67%, 0, 0, 0, 31.75, 1, 10, 1.14%
1669943389, 0, 1, 28, 0, 0, 2.02%, 0, 0, 0, 99.67, 7, 34, 1.64%
1669943389, 0, 2, 33, 0, 0, 2.08%, 0, 0, 0, 102.65, 15, 57, 1.81%
1669943390, 0, 3, 47, 0, 0, 2.14%, 2, 0, 0, 112.96, 23, 83, 1.84%
1669943390, 0, 3, 61, 0, 0, 2.18%, 2, 0, 0, 126.25, 23, 121, 1.84%
1669943390, 0, 3, 73, 0, 0, 2.22%, 2, 0, 0, 126.25, 23, 159, 1.84%
1669943391, 0, 5, 82, 0, 0, 2.22%, 4, 0, 0, 132.26, 23, 200, 1.84%
1669943391, 0, 5, 88, 0, 0, 2.22%, 4, 0, 0, 125.41, 27, 234, 1.84%
1669943391, 0, 7, 91, 0, 0, 2.22%, 4, 0, 0, 142.86, 29, 278, 1.86%
1669943392, 0, 8, 103, 0, 0, 2.33%, 4, 0, 0, 172.76, 43, 316, 2.04%
1669943392, 0, 8, 118, 0, 0, 2.37%, 4, 0, 0, 210.00, 72, 350, 2.17%
1669943392, 0, 8, 128, 0, 0, 2.40%, 4, 0, 0, 206.67, 106, 378, 2.20%
1669943392, 0, 12, 129, 0, 0, 2.40%, 4, 0, 0, 241.72, 154, 403, 2.20%
1669943393, 0, 12, 141, 0, 0, 2.41%, 4, 0, 0, 235.10, 203, 425, 2.24%
1669943393, 0, 12, 150, 0, 0, 2.44%, 4, 0, 0, 263.33, 249, 458, 2.29%
1669943393, 0, 16, 153, 0, 0, 2.44%, 4, 0, 0, 278.15, 303, 488, 2.30%
1669943394, 0, 16, 158, 0, 0, 2.44%, 4, 0, 0, 251.66, 361, 506, 2.31%
1669943394, 0, 20, 164, 0, 0, 2.45%, 4, 0, 0, 246.75, 400, 543, 2.32%
1669943394, 0, 20, 171, 0, 0, 2.46%, 4, 0, 0, 193.44, 408, 594, 2.34%
1669943395, 0, 21, 178, 0, 0, 2.46%, 4, 0, 0, 168.87, 444, 609, 2.35%
1669943395, 0, 21, 183, 0, 0, 2.46%, 4, 0, 0, 186.89, 486, 624, 2.35%
1669943395, 0, 21, 185, 0, 0, 2.47%, 4, 0, 0, 177.99, 527, 638, 2.36%
1669943396, 0, 21, 189, 0, 0, 2.47%, 4, 0, 0, 223.33, 579, 653, 2.36%
1669943396, 0, 23, 192, 0, 0, 2.48%, 4, 0, 0, 194.08, 607, 684, 2.37%
1669943396, 0, 23, 193, 0, 0, 2.48%, 4, 0, 0, 149.35, 608, 729, 2.37%
1669943396, 0, 24, 200, 0, 0, 2.48%, 4, 0, 0, 423.33, 676, 788, 2.38%
1669943397, 0, 28, 203, 0, 0, 2.48%, 4, 0, 0, 488.52, 756, 857, 2.39%
1669943397, 0, 31, 206, 0, 0, 2.48%, 5, 0, 0, 563.33, 857, 925, 2.40%
1669943397, 0, 31, 208, 0, 0, 2.48%, 5, 0, 0, 556.67, 966, 983, 2.40%
1669943398, 0, 32, 212, 0, 0, 2.49%, 5, 0, 0, 338.87, 1033, 1018, 2.42%
1669943398, 0, 32, 212, 0, 0, 2.49%, 5, 0, 0, 85.99, 1051, 1027, 2.42%
1669943398, 0, 32, 215, 0, 0, 2.49%, 5, 0, 0, 142.38, 1087, 1034, 2.42%
1669943399, 0, 32, 219, 0, 0, 2.49%, 5, 0, 0, 157.05, 1121, 1049, 2.43%
1669943399, 0, 34, 222, 0, 0, 2.49%, 6, 0, 0, 328.90, 1194, 1075, 2.43%
