# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, valid_inputs, invalid_inputs, valid_cov
1669874528, 0, 0, 1, 0, 0, 0.18%, 0, 0, 0, 0.84, 0, 1, 0.00%
1669874528, 0, 0, 9, 0, 0, 0.97%, 0, 0, 0, 33.11, 3, 8, 0.79%
1669874529, 0, 0, 39, 0, 0, 1.20%, 0, 0, 0, 212.62, 10, 65, 0.80%
1669874529, 0, 2, 59, 0, 0, 1.36%, 0, 0, 0, 245.85, 25, 124, 0.88%
1669874529, 0, 3, 77, 0, 0, 1.43%, 0, 0, 0, 262.46, 42, 186, 0.92%
1669874530, 0, 4, 92, 0, 0, 1.48%, 0, 0, 0, 380.00, 51, 291, 0.93%
1669874530, 0, 5, 104, 0, 0, 1.57%, 0, 0, 0, 416.67, 63, 404, 1.06%
1669874530, 0, 6, 115, 0, 0, 1.67%, 0, 0, 0, 410.60, 84, 507, 1.12%
1669874530, 0, 6, 127, 0, 0, 1.71%, 0, 0, 0, 433.33, 118, 603, 1.17%
1669874531, 0, 6, 136, 0, 0, 1.72%, 0, 0, 0, 443.33, 152, 702, 1.17%
1669874531, 0, 6, 144, 0, 0, 1.73%, 0, 0, 0, 490.00, 194, 807, 1.18%
1669874531, 0, 7, 153, 0, 0, 1.75%, 0, 0, 0, 446.67, 233, 902, 1.22%
1669874532, 0, 7, 157, 0, 0, 1.75%, 0, 0, 0, 495.02, 269, 1015, 1.22%
1669874532, 0, 7, 162, 0, 0, 1.77%, 0, 0, 0, 435.64, 309, 1107, 1.25%
1669874532, 0, 12, 169, 0, 0, 1.77%, 0, 0, 0, 617.16, 341, 1262, 1.29%
1669874533, 0, 12, 176, 0, 0, 1.78%, 0, 0, 0, 436.67, 393, 1341, 1.31%
1669874533, 0, 12, 185, 0, 0, 1.82%, 0, 0, 0, 526.67, 441, 1451, 1.35%
1669874533, 0, 17, 188, 0, 0, 1.82%, 0, 0, 0, 866.67, 470, 1682, 1.35%
1669874533, 0, 21, 198, 0, 0, 1.84%, 0, 0, 0, 716.67, 506, 1861, 1.35%
1669874534, 0, 27, 206, 0, 0, 1.86%, 0, 0, 0, 956.67, 528, 2126, 1.36%
1669874534, 0, 33, 212, 0, 0, 1.89%, 0, 0, 0, 726.67, 558, 2314, 1.36%
1669874534, 0, 35, 218, 0, 0, 1.91%, 0, 0, 0, 816.67, 588, 2529, 1.36%
1669874535, 0, 38, 222, 0, 0, 1.91%, 0, 0, 0, 737.54, 631, 2708, 1.36%
1669874535, 0, 38, 223, 0, 0, 1.91%, 0, 0, 0, 560.00, 679, 2828, 1.36%
1669874535, 0, 40, 227, 0, 0, 1.92%, 0, 0, 0, 598.01, 735, 2952, 1.36%
1669874536, 0, 40, 231, 0, 0, 1.93%, 0, 0, 0, 566.67, 784, 3073, 1.37%
1669874536, 0, 40, 237, 0, 0, 1.93%, 0, 0, 0, 572.85, 838, 3192, 1.39%
1669874536, 0, 45, 249, 0, 0, 1.95%, 0, 0, 0, 682.12, 867, 3369, 1.40%
1669874536, 0, 46, 251, 0, 0, 1.95%, 0, 0, 0, 580.00, 912, 3498, 1.40%
1669874537, 0, 46, 253, 0, 0, 1.95%, 0, 0, 0, 521.45, 963, 3605, 1.40%
1669874537, 0, 49, 260, 0, 0, 1.96%, 0, 0, 0, 850.00, 998, 3825, 1.40%
1669874537, 0, 54, 264, 0, 0, 1.97%, 0, 0, 0, 980.13, 1024, 4095, 1.40%
1669874538, 0, 58, 266, 0, 0, 1.97%, 0, 0, 0, 721.85, 1073, 4264, 1.43%
1669874538, 0, 58, 268, 0, 0, 1.98%, 0, 0, 0, 596.67, 1128, 4388, 1.43%
1669874538, 0, 58, 273, 0, 0, 1.98%, 0, 0, 0, 583.33, 1179, 4512, 1.43%
1669874539, 0, 61, 273, 0, 0, 1.98%, 0, 0, 0, 735.10, 1227, 4686, 1.43%
1669874539, 0, 61, 276, 0, 0, 1.99%, 0, 0, 0, 550.00, 1284, 4794, 1.43%
1669874539, 0, 61, 276, 0, 0, 1.99%, 0, 0, 0, 604.65, 1341, 4919, 1.43%
1669874539, 0, 62, 276, 0, 0, 1.99%, 0, 0, 0, 604.65, 1394, 5048, 1.43%
1669874540, 0, 62, 278, 0, 0, 1.99%, 0, 0, 0, 503.33, 1456, 5137, 1.43%
1669874540, 0, 66, 278, 0, 0, 1.99%, 0, 0, 0, 640.00, 1512, 5273, 1.43%
1669874540, 0, 66, 280, 0, 0, 2.02%, 0, 0, 0, 601.33, 1568, 5398, 1.46%
1669874541, 0, 68, 283, 0, 0, 2.02%, 0, 0, 0, 783.33, 1614, 5587, 1.47%
1669874541, 0, 68, 288, 0, 0, 2.02%, 0, 0, 0, 593.33, 1667, 5712, 1.47%
1669874541, 0, 69, 291, 0, 0, 2.03%, 0, 0, 0, 690.00, 1716, 5870, 1.47%
1669874542, 0, 73, 294, 0, 0, 2.04%, 0, 0, 0, 820.60, 1756, 6077, 1.47%
1669874542, 0, 78, 297, 0, 0, 2.04%, 0, 0, 0, 1029.80, 1781, 6363, 1.47%
1669874542, 0, 82, 297, 0, 0, 2.04%, 0, 0, 0, 780.00, 1829, 6549, 1.47%
1669874542, 0, 82, 300, 0, 0, 2.05%, 0, 0, 0, 631.58, 1882, 6688, 1.47%
1669874543, 0, 84, 302, 0, 0, 2.05%, 0, 0, 0, 655.63, 1937, 6831, 1.49%
1669874543, 0, 84, 307, 0, 0, 2.07%, 0, 0, 0, 662.25, 1991, 6977, 1.50%
1669874543, 0, 90, 311, 0, 0, 2.07%, 0, 0, 0, 956.67, 2027, 7228, 1.50%
1669874544, 0, 96, 314, 0, 0, 2.07%, 0, 0, 0, 870.00, 2068, 7448, 1.50%
1669874544, 0, 96, 314, 0, 0, 2.07%, 0, 0, 0, 686.67, 2124, 7598, 1.50%
1669874544, 0, 100, 317, 0, 0, 2.08%, 0, 0, 0, 672.19, 2178, 7747, 1.50%
1669874545, 0, 100, 320, 0, 0, 2.08%, 0, 0, 0, 596.67, 2230, 7874, 1.51%
