# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, valid_inputs, invalid_inputs, valid_cov
1669934134, 0, 0, 1, 0, 0, 0.89%, 0, 0, 0, 2.06, 1, 0, 0.89%
1669934135, 0, 0, 28, 0, 0, 1.95%, 0, 0, 0, 190.16, 34, 25, 1.78%
1669934135, 0, 0, 40, 0, 0, 1.98%, 0, 0, 0, 246.67, 79, 54, 1.84%
1669934135, 0, 0, 56, 0, 0, 2.10%, 1, 0, 0, 488.37, 168, 112, 1.97%
1669934136, 0, 2, 78, 0, 0, 2.25%, 1, 0, 0, 420.53, 231, 176, 2.05%
1669934136, 0, 2, 93, 0, 0, 2.29%, 1, 0, 0, 405.94, 313, 217, 2.11%
1669934136, 0, 2, 107, 0, 0, 2.32%, 1, 0, 0, 350.65, 387, 251, 2.13%
1669934137, 0, 3, 117, 0, 0, 2.33%, 1, 0, 0, 312.29, 462, 270, 2.16%
1669934137, 0, 3, 121, 0, 0, 2.35%, 1, 0, 0, 239.34, 531, 274, 2.19%
1669934137, 0, 3, 125, 0, 0, 2.35%, 1, 0, 0, 274.83, 601, 287, 2.19%
1669934137, 0, 4, 128, 0, 0, 2.41%, 1, 0, 0, 293.73, 653, 324, 2.29%
1669934138, 0, 6, 132, 0, 0, 2.41%, 1, 0, 0, 443.71, 709, 402, 2.29%
1669934138, 0, 8, 136, 0, 0, 2.43%, 1, 0, 0, 467.53, 792, 463, 2.33%
1669934138, 0, 8, 141, 0, 0, 2.43%, 1, 0, 0, 110.75, 793, 496, 2.33%
1669934139, 0, 9, 144, 0, 0, 2.43%, 1, 0, 0, 106.67, 796, 525, 2.34%
1669934139, 0, 10, 150, 0, 0, 2.44%, 1, 0, 0, 481.85, 880, 587, 2.34%
1669934139, 0, 13, 156, 0, 0, 2.45%, 1, 0, 0, 410.00, 964, 626, 2.38%
1669934140, 0, 13, 162, 0, 0, 2.45%, 1, 0, 0, 214.52, 1010, 645, 2.38%
1669934140, 0, 15, 164, 0, 0, 2.45%, 1, 0, 0, 357.62, 1077, 686, 2.38%
1669934140, 0, 15, 171, 0, 0, 2.45%, 1, 0, 0, 503.31, 1166, 749, 2.38%
1669934140, 0, 16, 178, 0, 0, 2.45%, 1, 0, 0, 571.43, 1265, 822, 2.39%
1669934141, 0, 16, 182, 0, 0, 2.45%, 1, 0, 0, 633.33, 1380, 897, 2.39%
1669934141, 0, 17, 184, 0, 0, 2.45%, 1, 0, 0, 578.07, 1487, 964, 2.40%
1669934141, 0, 20, 194, 0, 0, 2.45%, 1, 0, 0, 548.17, 1586, 1030, 2.40%
1669934142, 0, 21, 199, 0, 0, 2.48%, 1, 0, 0, 579.47, 1673, 1118, 2.43%
1669934142, 0, 21, 206, 0, 0, 2.48%, 1, 0, 0, 205.30, 1714, 1139, 2.44%
1669934142, 0, 21, 213, 0, 0, 2.48%, 1, 0, 0, 208.61, 1756, 1160, 2.44%
1669934143, 0, 21, 218, 0, 0, 2.50%, 1, 0, 0, 244.22, 1805, 1185, 2.44%
1669934143, 0, 21, 219, 0, 0, 2.50%, 1, 0, 0, 212.62, 1847, 1207, 2.44%
1669934143, 0, 21, 224, 0, 0, 2.50%, 1, 0, 0, 246.75, 1895, 1235, 2.44%
1669934143, 0, 24, 229, 0, 0, 2.50%, 1, 0, 0, 548.17, 1995, 1300, 2.44%
1669934144, 0, 26, 229, 0, 0, 2.50%, 1, 0, 0, 640.00, 2118, 1369, 2.44%
1669934144, 0, 26, 231, 0, 0, 2.50%, 1, 0, 0, 640.00, 2241, 1438, 2.44%
1669934144, 0, 28, 232, 0, 0, 2.50%, 1, 0, 0, 636.67, 2355, 1515, 2.44%
1669934145, 0, 30, 237, 0, 0, 2.50%, 2, 0, 0, 466.67, 2461, 1549, 2.44%
1669934145, 0, 30, 238, 0, 0, 2.50%, 2, 0, 0, 490.00, 2554, 1603, 2.44%
1669934145, 0, 31, 240, 0, 0, 2.50%, 2, 0, 0, 476.82, 2654, 1647, 2.44%
1669934146, 0, 31, 244, 0, 0, 2.50%, 2, 0, 0, 460.00, 2747, 1692, 2.44%
1669934146, 0, 33, 246, 0, 0, 2.50%, 3, 0, 0, 518.27, 2845, 1750, 2.44%
1669934146, 0, 33, 248, 0, 0, 2.50%, 3, 0, 0, 455.15, 2931, 1801, 2.44%
1669934146, 0, 38, 249, 0, 0, 2.50%, 3, 0, 0, 509.80, 3019, 1869, 2.44%
1669934147, 0, 38, 250, 0, 0, 2.50%, 3, 0, 0, 610.00, 3138, 1933, 2.44%
1669934147, 0, 39, 251, 0, 0, 2.50%, 3, 0, 0, 638.44, 3263, 2004, 2.44%
1669934147, 0, 40, 254, 0, 0, 2.50%, 3, 0, 0, 540.00, 3335, 2094, 2.44%
1669934148, 0, 42, 254, 0, 0, 2.50%, 3, 0, 0, 552.98, 3421, 2175, 2.44%
1669934148, 0, 43, 256, 0, 0, 2.50%, 3, 0, 0, 533.11, 3527, 2230, 2.44%
1669934148, 0, 45, 256, 0, 0, 2.50%, 4, 0, 0, 205.98, 3571, 2248, 2.44%
1669934149, 0, 45, 258, 0, 0, 2.50%, 4, 0, 0, 198.68, 3609, 2270, 2.44%
1669934149, 0, 45, 261, 0, 0, 2.50%, 5, 0, 0, 197.41, 3660, 2280, 2.44%
1669934149, 0, 48, 261, 0, 0, 2.50%, 5, 0, 0, 210.53, 3705, 2299, 2.44%
1669934150, 0, 48, 261, 0, 0, 2.50%, 5, 0, 0, 229.24, 3749, 2324, 2.44%
1669934150, 0, 49, 261, 0, 0, 2.50%, 5, 0, 0, 534.88, 3860, 2374, 2.44%
1669934150, 0, 50, 264, 0, 0, 2.51%, 6, 0, 0, 598.01, 3975, 2439, 2.45%
1669934150, 0, 50, 267, 0, 0, 2.51%, 6, 0, 0, 481.73, 4088, 2471, 2.45%
1669934151, 0, 51, 271, 0, 0, 2.51%, 7, 0, 0, 490.00, 4191, 2515, 2.46%
